iter	MultiClass
0	1.028815246
1	0.9607612291
2	0.9032372589
3	0.8450828039
4	0.7927504988
5	0.7472534601
6	0.7088413341
7	0.6708898106
8	0.64187701
9	0.6111019281
10	0.5838009037
11	0.5603492573
12	0.533740511
13	0.5124231416
14	0.4944498189
15	0.4748953195
16	0.4578834845
17	0.4412085143
18	0.4247488979
19	0.4111051252
20	0.3967011382
21	0.3841811414
22	0.3702668438
23	0.3589528872
24	0.3466643652
25	0.3359932526
26	0.3251401094
27	0.3142429047
28	0.3060505794
29	0.297652832
30	0.289838547
31	0.2809930552
32	0.2741335202
33	0.2672672475
34	0.2614388333
35	0.2557980017
36	0.2499633137
37	0.2448235245
38	0.2388679234
39	0.2346229129
40	0.2286301923
41	0.2238264815
42	0.2200526861
43	0.2166142141
44	0.211762295
45	0.2075406088
46	0.2031937955
47	0.1996332959
48	0.1959034351
49	0.1916800274
50	0.1891498916
51	0.186459145
52	0.1828405524
53	0.1798365517
54	0.1760315444
55	0.1742051783
56	0.1712728587
57	0.1687730741
58	0.1659056196
59	0.1632991457
60	0.1607075962
61	0.1579993774
62	0.15531979
63	0.1529323496
64	0.1500406025
65	0.148026185
66	0.1456641151
67	0.1440880102
68	0.1418687152
69	0.1406157849
70	0.1390063346
71	0.1371928955
72	0.1350244515
73	0.1330323084
74	0.1315354265
75	0.129452257
76	0.127878064
77	0.1260522819
78	0.1244257663
79	0.1225692114
80	0.1206560345
81	0.1192408901
82	0.1177315509
83	0.1164868032
84	0.1149715163
85	0.1139098694
86	0.112173112
87	0.1110635918
88	0.1098915486
89	0.1089390041
90	0.1077995283
91	0.1064554318
92	0.1055208814
93	0.1046155951
94	0.1033241878
95	0.1017263749
96	0.1002437093
97	0.09879378861
98	0.09793893657
99	0.09691015111
100	0.09615604663
101	0.09516364063
102	0.09444849465
103	0.09336391757
104	0.0921270364
105	0.09098240563
106	0.08996532135
107	0.08884151275
108	0.08775200659
109	0.0870325523
110	0.08627898693
111	0.08512579493
112	0.08428584222
113	0.08355743932
114	0.08260893337
115	0.08194196157
116	0.08111079607
117	0.08010875882
118	0.07941026796
119	0.07851193978
120	0.07768761092
121	0.07709503169
122	0.07636815072
123	0.07573702796
124	0.07507891481
125	0.07389041655
126	0.07329768165
127	0.07222250914
128	0.07157450495
129	0.07089211926
130	0.07027731215
131	0.06954627986
132	0.06873474482
133	0.06788135263
134	0.06720437418
135	0.06703290427
136	0.06626266496
137	0.06608071569
138	0.06513237998
139	0.06438249685
140	0.06392232646
141	0.06351285685
142	0.06275094133
143	0.06255371407
144	0.06181879432
145	0.0612497453
146	0.06069556402
147	0.06017318402
148	0.05957098955
149	0.05895732415
150	0.05846023244
151	0.05790371704
152	0.05755884765
153	0.05712536439
154	0.05651961312
155	0.05619056426
156	0.05581849242
157	0.05537406559
158	0.05484540596
159	0.05437874333
160	0.05398756292
161	0.05362109763
162	0.05338706038
163	0.05285335454
164	0.05251958014
165	0.05206280446
166	0.05190650287
167	0.05144353199
168	0.05110032302
169	0.05079228265
170	0.05045612225
171	0.05019936894
172	0.0498840148
173	0.04953928138
174	0.04888026943
175	0.04868538899
176	0.04839068973
177	0.04805304249
178	0.04766491675
179	0.04721319749
180	0.04693012142
181	0.04669416519
182	0.04633716214
183	0.04595566992
184	0.04561636998
185	0.04531998705
186	0.04480537053
187	0.04429484194
188	0.04399561386
189	0.04374666886
190	0.04344415182
191	0.04317083886
192	0.04283686992
193	0.0425768568
194	0.04226578964
195	0.0420762598
196	0.04184833257
197	0.04148319457
198	0.04115161943
199	0.04087589113
200	0.04060706635
201	0.0403288607
202	0.04004198203
203	0.0398700751
204	0.03931688307
205	0.03902697762
206	0.03871824555
207	0.03838393649
208	0.03817486419
209	0.03791433613
210	0.03776307334
211	0.03758982881
212	0.03725134875
213	0.03701488196
214	0.03683119979
215	0.0365996697
216	0.03626604134
217	0.03606490628
218	0.03580968091
219	0.03566029484
220	0.03551247935
221	0.03528655056
222	0.03520045853
223	0.03502242463
224	0.03477198101
225	0.03461393753
226	0.0343909081
227	0.03417465178
228	0.0339389538
229	0.03375328511
230	0.0336388521
231	0.03333712842
232	0.03319655521
233	0.03300715755
234	0.03285338975
235	0.03272259455
236	0.03251442139
237	0.03237993139
238	0.03223650335
239	0.03201398571
240	0.03180982986
241	0.03167577594
242	0.03154832236
243	0.0314304736
244	0.03123697348
245	0.03100242353
246	0.03075388547
247	0.03060450136
248	0.0304226802
249	0.03029529491
250	0.030162171
251	0.03002139103
252	0.02987576353
253	0.02970277157
254	0.02951244187
255	0.02941449662
256	0.02922002741
257	0.02911047646
258	0.028918023
259	0.02883033175
260	0.02870766549
261	0.02848160404
262	0.02836025192
263	0.02825288951
264	0.02815168495
265	0.02807778612
266	0.0280079949
267	0.02784658758
268	0.02774612137
269	0.02756904265
270	0.02744946267
271	0.02728815904
272	0.02717420327
273	0.02702946228
274	0.02687813973
275	0.02681186762
276	0.02663331815
277	0.02651592668
278	0.02641020213
279	0.02630810442
280	0.02622443023
281	0.02599395399
282	0.02592935194
283	0.02575264027
284	0.02568602593
285	0.02559038752
286	0.02546749489
287	0.02536485296
288	0.02512013556
289	0.02498769574
290	0.02485756595
291	0.02480291698
292	0.02472384348
293	0.02463853383
294	0.02451454581
295	0.02446453112
296	0.02439114936
297	0.0242609955
